Energy_Meter_ID,Month_Index,Previous_Reading,Present_Reading,Difference,Meter_Status,Is_Theft,Theft_Type,Year,Month,Meter_Constant,Net_Energy_MU,Type of Meter (EM/ ETV),Particulars
SYN_T_0714,1,2611.14,2621.14,10.0,OK,0,,2020,January,1000,100.0,EM,Synthetic
SYN_T_0714,2,2621.14,2631.14,10.0,OK,0,,2020,February,1000,100.0,EM,Synthetic
SYN_T_0714,3,2631.14,2644.97,13.84,OK,0,,2020,March,1000,138.4,EM,Synthetic
SYN_T_0714,4,2644.97,2659.62,14.65,OK,0,,2020,April,1000,146.5,EM,Synthetic
SYN_T_0714,5,2659.62,2671.15,11.53,OK,0,,2020,May,1000,115.3,EM,Synthetic
SYN_T_0714,6,2671.15,2683.86,12.71,OK,0,,2020,June,1000,127.10000000000001,EM,Synthetic
SYN_T_0714,7,2683.86,2693.86,10.0,OK,0,,2020,July,1000,100.0,EM,Synthetic
SYN_T_0714,8,2693.86,2704.28,10.42,OK,0,,2020,August,1000,104.2,EM,Synthetic
SYN_T_0714,9,2704.28,2714.28,10.0,OK,0,,2020,September,1000,100.0,EM,Synthetic
SYN_T_0714,10,2714.28,2724.28,10.0,OK,0,,2020,October,1000,100.0,EM,Synthetic
SYN_T_0714,11,2724.28,2734.28,10.0,OK,0,,2020,November,1000,100.0,EM,Synthetic
SYN_T_0714,12,2734.28,2744.28,10.0,OK,0,,2020,December,1000,100.0,EM,Synthetic
SYN_T_0714,13,2744.28,2754.38,10.1,OK,0,,2021,January,1000,101.0,EM,Synthetic
SYN_T_0714,14,2754.38,2764.38,10.0,OK,0,,2021,February,1000,100.0,EM,Synthetic
SYN_T_0714,15,2764.38,2774.38,10.0,OK,0,,2021,March,1000,100.0,EM,Synthetic
SYN_T_0714,16,2774.38,2786.57,12.18,OK,0,,2021,April,1000,121.8,EM,Synthetic
SYN_T_0714,17,2786.57,2800.37,13.81,OK,0,,2021,May,1000,138.1,EM,Synthetic
SYN_T_0714,18,2800.37,2811.37,10.99,OK,0,,2021,June,1000,109.9,EM,Synthetic
SYN_T_0714,19,2811.37,2821.37,10.0,OK,0,,2021,July,1000,100.0,EM,Synthetic
SYN_T_0714,20,2821.37,2831.37,10.0,OK,0,,2021,August,1000,100.0,EM,Synthetic
SYN_T_0714,21,2831.37,2841.37,10.0,OK,0,,2021,September,1000,100.0,EM,Synthetic
SYN_T_0714,22,2841.37,2851.37,10.0,OK,0,,2021,October,1000,100.0,EM,Synthetic
SYN_T_0714,23,2851.37,2861.37,10.0,OK,0,,2021,November,1000,100.0,EM,Synthetic
SYN_T_0714,24,2861.37,2871.37,10.0,OK,0,,2021,December,1000,100.0,EM,Synthetic
SYN_T_0714,25,2871.37,2881.04,9.67,OK,1,Tampering_Intermittent,2022,January,1000,96.7,EM,Synthetic
